Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,eqg_yoy,eqg_effective,eqg_factor_effective,revenue_quarterly_growth,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,skip_reason
TLV:AICS,AI CONVERSATION,Technology,Israel,1.00E+50,0,0,0,0,0,0,62.855,62.855,0,0,0,69.6675,0,-4.407,0,0,0,0,0,0.01,0.01,0,-0.597,272.5,-0.00219,1092.4529,8879980,-5300000,-0.59685,6,23193654,25707310,-883333.3333,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-5480800,-966900,81284.06999,13976004.4,7028644.235,0.28923,0.32797,0.3086,USD,1,0,0,0,0,0.52444,178.8,384.8,276.3007,-1.37557,52.40492,-29.18399,0.90971,0.91071,8.27533,4.46844,0.54465,0.37304,0,0,5.96018,2.27,6.38189,0.46884,0.01,4.12509,None
TLV:AILN,AXILION,Technology,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,3.30874E+15,0,0,0,0,0,0,0,0.01,0.0499,0,-0.08,1800,-4.00E-05,10000,28493800,-754000,-0.02646,10000000,170827200,512888384,-0.0754,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-132933.3333,-9100,2122612736444,6.61537E+15,3.30874E+15,-1.01379,-1.01182,11.12807,USD,1,0,0,0,0,-0.99774,1.25,800000,3125.2727,-42.40503,143900,-99.775,0.0045,0.0055,0.01358,0.01168,0,0,0,0,0.01566,0.01168,0.02263,0.01,0.01,0.02367,None
TLV:ALBA,ALBAAD MASSUOT YIT,Consumer Defensive,Israel,2986633.777,452164509,10231546.33,120413747.6,6978298.777,8604922.555,286289128.3,0.857,0.857,7.61954,0,7.61954,0.48887,7.61954,5.312,0.06416,0.0187,1,0.14394,2.5,0.11325,0.13017,0,9.62,7278,0.00132,161.29033,10530700,111435000,10.58192,1822,1352531968,771900288,61160.81229,0.32726,0.32726,0.32726,2.68632,-0.75,1,1,42952115.42,10751076.75,31.4893,125.80433,78.64681,1.97121,1.84849,1.90985,ILS,0.30581,237.4,189.92,189.92,170.928,0.829,3000,9691,7587.636,-4.0808,142.6,-24.89939,1.27873,4.37198,1.51669,1.55472,0.78421,0.40325,0.43873,0.38253,1.3178,1.29225,1.5457,0.60373,0.42063,1.31502,None
TLV:ALD,A.L.D. ADVANCED,Industrials,Israel,51429920.54,35142849.32,699897.1533,8784850.965,595748.461,647822.8072,21963850.14,0.822,0.822,23.16667,0,23.16667,0.14602,23.16667,18.099,0.03627,0.02047,1,0.06656,1,0.06132,0.15632,0,0.48,1099,0.00044,436.93515,6469730,4076000,0.63001,603,92342520,16410896,6759.53566,3.772,0.24568,2.89042,15.50211,-0.75,1,1,2411006.04,1145808.908,38.30041,80.59155,59.44598,2.26432,1.90787,2.0861,ILS,0.30581,3.9208,1.7464,2.47,2.47,1099,136,1160,657.5937,67.12447,708.08824,-5.25862,1.88086,44.2729,1.59139,1.67987,0.60419,0.33515,0.64493,0.7706,1.71122,1.81678,1.64563,0.47967,0.71777,1.774,None
TLV:ALGS,ALON NATURAL GAS E,Energy,Israel,8516542419,0,0,0,0,0,0,6.919,6.919,11.07317,0,11.07317,4.80751,11.07317,8.162,0.43406,0,0,0,0,0.25803,0.05252,0,1.435,1589,0.0009,312.54916,14038000,20140000,1.43468,10000000,321022912,223063824,2.014,-0.9,-0.9,-0.9,0.15,-0.75,1,1,16131666.67,6315266.667,19.90017,50.83284,35.3665,3.2556,2.29417,2.77489,USD,1,356.178,356.178,178.234,357.285,1589,1005,1800,1394.958,13.91024,58.10945,-11.72222,1.46918,10.05667,1.38182,1.47117,0.32865,1.72709,0.51107,0.52429,1.59493,2.26743,1.4365,1.03787,0.52768,1.94118,None
TLV:ALHE,ALONY HETZ,Real Estate,Israel,114145623237,446275525.9,160464990.2,105439924.1,21254182.36,90859586.27,275857725,16.078,16.078,26.82576,0,26.82576,5.63275,26.82576,19.372,0.21067,0.88253,2.5,0.45709,2.5,0.675,0.40999,0,1.739,4495,0.00039,125.96193,173662000,302998016,1.74476,10000000,23123986432,8101332480,30.2998,-0.932,-0.22083,-0.75421,0.29579,-0.75,1,1,216746711.1,72081822.71,106.68668,320.80191,213.74429,2.43854,2.55984,2.49919,ILS,0.30581,50,29,29,29,4495,3126,4838,4309.678,4.30014,43.79399,-7.08971,1.5993,16.73317,1.61947,1.60046,0.91081,1.00607,0.09764,0.09712,1.11413,1.50899,1.61996,0.96844,0.10738,1.32156,None
TLV:ALLT,ALLOT LTD,Technology,Israel,1.00E+50,120096133.3,-9888133.333,36440333.33,-2127200,-6007666.667,78268233.33,14.514,14.514,-345.72447,-527.27273,-391.11154,15.2808,-130.37051,-328.37944,-0.06877,-0.08684,0,-0.05977,0,-0.05621,0.72795,-0.11,-0.27,5544,-5.00E-05,1576.944,35623200,-9348000,-0.26241,504,1972794240,2076997376,-18547.61905,0.04284,0.04284,0.04284,1.26419,-0.75,1,1,-2106800,-3603733.333,821324117385,164144150663,492734134024,0.53349,0.55896,0.54623,USD,1,0,0,0,0,5544,2950,6630,4607.28,20.3313,87.9322,-16.38009,1.40978,7.85078,2.95997,2.79018,0.27084,0.2116,0.79107,0.29605,2.63904,2.46838,2.88508,0.25122,0.55356,2.56371,None
TLV:ALMA,ALMOGIM HOLDINGS,Real Estate,Israel,737394899247,0,0,0,0,0,0,3.375,3.375,22.75732,0,22.75732,1.16861,22.75732,24.123,0.05138,0,0,0,0,0.03936,0.01,0,0.239,541.7,0.00044,145.77863,37333400,8928000,0.23914,87,586430912,203056368,102620.6897,-0.83,-0.83,-0.83,0.22,-0.75,1,1,1230400,10735600,476.6181,54.62488,265.62149,4.425,3.71794,4.07147,USD,1,16.071,0,0,0,541.7,273.1,549,440.17133,23.06572,98.35225,-1.32969,1.94708,54.48862,1.23092,1.2695,0.96631,0.56346,25.23995,26.8532,1.6117,1.62241,1.26021,0.77489,26.05657,1.62706,None
TLV:ALMD,ALLMED SOLUTIONS,Healthcare,Israel,1.00E+50,3029578.121,-903994.7473,796206.916,-948897.849,-926446.2982,1912892.518,4.375,4.375,-55.68848,0,-55.68848,5.3084,-55.68848,-45.90047,-0.89083,-0.43528,0,-1.15294,0,-0.65796,0.04961,0,-0.11,64.8,-0.0017,105.09031,80613104,-8658000,-0.1074,40,42524324,51592384,-216450,-0.27737,-0.27737,-0.27737,0.77263,-0.75,1,1,-3472309.451,-597705.645,1882142.231,361643097.4,181762619.8,0.19661,0.15481,0.17571,ILS,0.30581,0,0,0,0,64.8,38.2,87,60.33566,7.39917,69.63351,-25.51724,1.09016,1.67861,6.47272,7.42268,57.16394,75.26388,0.37586,0.47814,6.05922,7.03769,6.9577,66.22391,0.437,6.55846,None
TLV:ALRPR,ALROV PROPERTIES,Real Estate,Israel,13048549867371,270367293.8,22947024.2,45547667.6,6904822.828,14925923.51,157957480.7,17.94,17.94,251.45346,0,251.45346,5.82702,251.45346,49.916,-0.25791,0.00467,1,1.07691,4.8125,0.58987,0.00498,0,-7.141,15700,-0.00045,84.35102,23053900,-166116992,-7.20559,1042,11555107840,3753175040,-159421.2975,-0.605,-0.60975,-0.60619,0.44381,-0.75,1,1,53783885.23,6607371.635,214.84331,1748.82063,981.83197,2.02418,2.11034,2.06726,ILS,0.30581,42,62.5,103.4,101,15700,7571,17340,13352.797,17.57836,107.37023,-9.4579,1.66424,21.24722,1.54538,1.52355,0.07847,0.09747,7.12237,7.5603,0.45426,0.324,1.54446,0.09797,7.35134,0.39913,None
TLV:AMAN,AMANET MANAGEMENT,Industrials,Israel,21120103.39,0,0,0,0,0,0,0.213,0.213,27.90274,0,27.90274,0.39749,27.90274,7.181,0.01323,0,0,0,0,0.01756,0.183,0,0.658,1836,0.00036,108.90972,7137850,4363000,0.61125,1493,70296208,131050008,2922.30409,-0.9,-0.9,-0.9,0.15,-0.75,1,1,16939400,9817700,4.14986,7.16015,5.65501,0.74291,0.71672,0.72981,USD,1,105.974,60.4586,150.321,60.1286,1836,1306,1986,1631.7133,12.51977,40.58193,-7.55287,1.55882,14.34768,2.41798,2.47328,0.16202,0.19309,1.0883,0.79433,2.07055,2.20636,2.45563,0.18756,0.95131,2.14845,None
TLV:AMDA-L,ALMEDA VENTURES LI,,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,10000000000000,0,0,0,0,0,0,0,0.01,0.28321,0,0,730,0,10000,100000000,0,0,10000000,0,0,0,-0.9,-0.9,-0.9,0.15,-0.75,1,1,0,0,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,0,USD,1,0,0,0,0,730,728,747,730,0,0.27473,-2.27577,0.21053,0.21153,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,None
TLV:AMOT,AMOT INVESTMENTS,Real Estate,Israel,93968622449,229610690.3,166347204.7,57691606.96,23489266.1,94918235.42,143651148.6,19.215,19.215,29.31081,0,29.31081,11.62619,29.31081,22.375,0.37663,4.08835,5.625,0.99715,2.5,2.68491,0.20832,0,0.74,2106,0.00035,140.66148,411945984,289456992,0.70266,93,14767188992,8935108608,3112440.774,-0.898,-0.22039,-0.7286,0.3214,-0.75,1,1,143328029.8,37644171.25,103.03071,392.28355,247.65713,1.3078,1.36463,1.33621,ILS,0.30581,25,25,25,25,2106,1445,2277,1851.8741,13.72263,45.74394,-7.50988,1.58894,16.09344,1.76623,1.73394,0.05741,0.05174,0.02287,0.03141,0.50651,0.63691,1.76009,0.06458,0.03714,0.58171,None
TLV:AMRK,AMIR MARKETING AND,Basic Materials,Israel,156900077.2,0,0,0,0,0,0,0.501,0.501,14.32974,0,14.32974,0.3465,14.32974,7.385,0.02417,0,0,0,0,0.02381,0.06966,0,1.947,2736,0.00071,107.53517,12526300,24383000,1.94654,213,505543616,349483776,114474.1784,-0.9,-0.9,-0.9,0.15,-0.75,1,1,71176066.67,23046866.67,7.10272,21.93546,14.51909,1.33243,1.32102,1.32672,USD,1,80,6,23,80,2736,1801,2882,2489.3357,9.90884,51.9156,-5.06593,1.72988,26.79757,1.75239,1.75801,0.32349,0.25683,1.6695,1.0684,1.38914,1.37976,1.7652,0.30016,1.37895,1.39445,None
TLV:AMX,AUTOMAX MOTORS LTD,Consumer Cyclical,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,1861019387,0,746.493,0,0,0,0,0,0.01,0.1,0,-0.01,51.4,-0.00019,1170.4546,98761800,-1010000,-0.01023,10000000,44043108,50862328,-0.101,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-648066.6667,-292900,315275719.1,3406763056,1861019387,2.54322,0.74418,1.6437,USD,1,0,0,0,0,51.4,1,65.1,44.88322,14.51942,5040,-21.04455,1.57254,15.1222,1.85151,2.34392,2.80083,0.22215,3.01997,0.75499,1.67978,2.39336,2.10772,1.52149,1.89748,2.04657,None
TLV:ANGL,SALOMON A.ANGEL,Consumer Defensive,Israel,1.00E+50,0,0,0,0,0,0,0.733,0.733,0,0,0,0.53917,0,23.928,-0.01033,0,0,0,0,0.00852,0.01,0,-0.82,4245,-0.00019,199.49246,5360000,-4287000,-0.79981,1032,304247200,223817632,-4154.06977,-0.9,-0.9,-0.9,0.15,-0.75,1,1,17797133.33,6191600,17.09529,49.1387,33.117,1.85486,1.8786,1.86673,USD,1,100,200,100,0,4245,3848,5416,4568.4404,-7.07989,10.31705,-21.62112,0.50638,0.50738,1.52607,1.51596,0.31435,0.14352,2.42273,3.03503,0.78518,0.78872,1.53101,0.23893,2.73888,0.79695,None
TLV:ANLT,ANALYST INV MGT SV,Financial Services,Israel,185171172,0,0,0,0,0,0,1.854,1.854,44.78689,0,44.78689,3.05662,44.78689,9.866,0.06815,0,0,0,0,0.04894,0.01,0,0.61,2714,0.00022,190.55591,11344500,6910000,0.60911,140,187957696,309931744,49357.14286,1.019,1.019,1.019,6.145,-0.75,1,1,13466533.33,6185466.667,13.95739,30.38699,22.17219,0.33496,0.33628,0.33562,USD,1,160,160,52.254,130,2714,1319,2798,2160.8323,25.59975,105.76194,-3.00214,1.88641,45.06259,4.027,3.97559,0.51581,0.94667,0.29136,0.34936,5.49077,6.30424,4.0113,0.74124,0.33036,5.90751,None
TLV:APLP,APOLLO POWER LTD,Technology,Israel,1.00E+50,1141.69067,-3091331.353,19612.61467,-777022.4353,-1934176.894,10377.15267,3045.199,3045.199,-471.87044,0,-471.87044,5531.3994,-157.29015,-259.77866,0,-1504.85714,0,-88.0775,0,-240.13459,0.12605,0,-0.527,2413,-0.00022,6766.7563,36160100,-10595000,-0.293,10000000,502457888,912680896,-1.0595,-0.10148,-0.10148,-0.10148,0.94852,-0.75,1,1,-2137815.773,-605157.2153,12999971386,572599899272,292799935329,0.73895,0.68106,0.71001,ILS,0.30581,30.9599,26.2372,20.9898,69.6724,2413,121,2940,1527.091,58.01285,1894.21488,-17.92517,1.62611,18.48831,3.53034,2.52275,4.14752,3.13636,0,0,2.76865,2.71996,3.03654,3.65194,0.01,2.75431,None
TLV:AQUA,AQUARIUS ENGINES,Technology,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,10000000000000,0,0,0,0,0,0,0,0.01,0.01,0,0,4049,0,10000,28636900,0,0,10000000,1136316160,1136316160,0,-0.9,-0.9,-0.9,0.15,-0.75,1,1,0,0,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,0,USD,1,0,0,0,0,4049,3460,6465,4431.125,-8.62366,17.02312,-37.37046,0.39201,0.39301,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,None
TLV:ARAD,ARAD INVESTMENT &,Industrials,Israel,1017840543,830304934.9,75799656.81,234862813.9,22835118.12,49317387.47,532583874.4,2.515,2.515,13.38654,0,13.38654,0.93738,13.38654,13.08,0.07142,0.23065,2.5,0.23207,2.5,0.21871,0.17789,0,27.438,36910,0.00074,115.42474,7199640,201476992,27.98431,4254,7096001536,2644413184,47361.77527,-0.564,-0.09837,-0.44759,0.60241,-0.75,1,1,146614467.9,66443461.02,48.39905,106.79759,77.59832,2.19471,2.21892,2.20682,ILS,0.30581,300,300,300,200,36910,21980,37930,31620.979,16.7263,67.92539,-2.68916,1.8721,43.05015,1.79747,1.78473,0.60341,0.43637,7.97112,7.78728,1.68986,1.74061,1.8011,0.52989,7.8892,1.72524,None
TLV:ARAN,ARAN RESEARCH&DEVE,Industrials,Israel,2118746931,0,0,0,0,0,0,0.892,0.892,30.86039,0,30.86039,0.96743,30.86039,18.464,0.03135,0,0,0,0,0.02791,0.20563,0,0.616,1872,0.00033,158.1794,4885640,3010000,0.61609,141,85615792,92875256,21347.51773,-0.29,-0.29,-0.29,0.76,-0.75,1,1,15156000,1066000,5.64897,80.315,42.98199,1.3009,1.34423,1.32257,USD,1,25.5851,40.9362,20.4681,20.4681,1872,957,2072,1768.3357,5.86225,95.61129,-9.65251,1.64126,19.54597,1.85373,1.80095,0.20568,0.25674,6.92205,6.64152,1.45768,1.535,1.83734,0.24121,6.79179,1.50634,None
TLV:ARD,ARAD LTD,Technology,Israel,3664901093,242485000,16759333.33,63551666.67,3759733.333,10259533.33,153018333.3,4.704,4.704,71.24802,0,71.24802,4.45794,23.74934,40.304,0.06257,0.1726,2.5,0.14798,2.5,0.15984,0.18756,0,0.633,4409,0.00014,857.25146,24730700,15655000,0.63302,998,1176958592,1115354624,15686.37275,-0.287,-0.00289,-0.21597,0.83403,-0.75,1,1,22098266.67,7482933.333,53.26022,157.28572,105.27297,1.20225,1.22987,1.21606,USD,1,10.1,14.15,12.13,32.35,4409,3923,5950,4748.846,-7.15639,12.38848,-25.89916,0.47953,0.48053,1.8435,1.81982,0.08113,0.06275,1.03763,0.6703,2.05878,2.09646,1.84166,0.08194,0.86397,2.08762,None
TLV:ARDM,AERODROME GRP LTD,Technology,Israel,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,10000000000000,0,0,0,0,0,0,0,0.01,0.05876,0,-0.304,326,-0.00093,10000,76877000,0,0,10000000,263688112,263688112,0,-0.9,-0.9,-0.9,0.15,-0.75,1,1,0,0,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,0,USD,1,0,0,0,0,326,69,678.9,406.4098,-19.7854,372.46377,-51.98115,0.84276,0.84376,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,None
TLV:ARKO,ARKO CORP,Consumer Defensive,United States,178831033837234,0,0,0,0,0,0,1.565,1.565,250.43166,0,250.43166,1.10149,250.43166,36.684,0.00337,0,0,0,0,0.01193,0.4813,0,0.139,3459,4.00E-05,1982.3462,124428000,9910000,0.07964,10380,6119960576,4307633152,954.72062,-0.9,-0.9,-0.9,0.15,-0.75,1,1,118451533.3,83129978.67,51.66637,73.61918,62.64277,14.24837,19.68987,16.96912,USD,1,0,0,0,0,3459,2430,3500,3123.9333,10.7258,42.34568,-1.17143,1.92336,50.62553,1.1644,1.12539,2.06354,1.16867,1.12441,0.96898,1.26473,1.53355,1.15489,1.6261,1.05669,1.40914,None
TLV:ARNA,ARENA STAR GROUP L,Real Estate,Israel,21103324587,23306330.56,5480604.496,4717210.993,2408834.789,3944719.643,14011770.78,12.411,12.411,16.33333,0,16.33333,3.45905,16.33333,21.554,0.22025,0.23254,1,0.49939,1,0.39327,0.01,0,0.009,13.8,0.00065,207.04225,1420940032,13300000,0.00936,10000000,749469120,208878176,1.33,-0.24,-0.18341,-0.22585,0.82415,-0.75,1,1,9962617.018,1881648.93,75.22814,398.30444,236.76629,24.7578,8.99059,16.87419,ILS,0.30581,0,0,0,0,13.8,2.8,23.5,8.1014,70.34097,392.85714,-41.2766,1.0628,1.44117,1.06171,1.08492,0.2055,0.1693,10.12022,9.73206,0.17209,0.20627,1.08331,0.1974,9.93614,0.19918,None
